account_id,time,default_rate,r12_gdp_bl,r12_gdp_st
404003,2015,,1.953805,-1.751212
404003,2016,,1.777671,0.3236178
404003,2017,,1.697906,1.716037
404003,2018,,1.790401,1.769894
404003,2019,,1.601768,1.604487
404003,2020,,1.494786,1.494678
404050,2005,,0.8475649,0.8475649
404050,2006,,3.807042,3.807042
404050,2007,0.0035,3.335074,3.335074
404050,2008,0.0040123,0.8056425,0.8056425
404050,2009,0.0142114,-5.223765,-5.223765
404050,2010,0.0001,3.786477,3.786477
404050,2011,0.004744,3.344833,3.344833
404050,2012,0.007232,0.8923269,0.8923269
404050,2013,0.004878,0.5314357,0.5314357
404050,2014,,1.744751,-0.8668542
404050,2015,,1.953805,-1.751212
404050,2016,,1.777671,0.3236178
404050,2017,,1.697906,1.716037
404050,2018,,1.790401,1.769894
404050,2019,,1.601768,1.604487
404050,2020,,1.494786,1.494678
404149,2005,,0.8475649,0.8475649
404149,2006,,3.807042,3.807042
404149,2007,,3.335074,3.335074
404149,2008,,0.8056425,0.8056425
404149,2009,,-5.223765,-5.223765
404149,2010,,3.786477,3.786477
404149,2011,,3.344833,3.344833
404149,2012,,0.8923269,0.8923269
404149,2013,0.0049,0.5314357,0.5314357
404149,2014,,1.744751,-0.8668542
404149,2015,,1.953805,-1.751212
404149,2016,,1.777671,0.3236178
404149,2017,,1.697906,1.716037
404149,2018,,1.790401,1.769894
404149,2019,,1.601768,1.604487
404149,2020,,1.494786,1.494678
404256,2005,,0.8475649,0.8475649
404256,2006,,3.807042,3.807042
404256,2007,0.00433,3.335074,3.335074
404256,2008,0.0030652,0.8056425,0.8056425
404256,2009,0.0142176,-5.223765,-5.223765
404256,2010,0.032043,3.786477,3.786477
404256,2011,,3.344833,3.344833
404256,2012,,0.8923269,0.8923269
404256,2013,,0.5314357,0.5314357
404256,2014,,1.744751,-0.8668542
404256,2015,,1.953805,-1.751212
404256,2016,,1.777671,0.3236178
404256,2017,,1.697906,1.716037
404256,2018,,1.790401,1.769894
404256,2019,,1.601768,1.604487
404256,2020,,1.494786,1.494678
404265,2005,,0.8475649,0.8475649
404265,2006,,3.807042,3.807042
404265,2007,,3.335074,3.335074
404265,2008,,0.8056425,0.8056425
404265,2009,,-5.223765,-5.223765
404265,2010,,3.786477,3.786477
404265,2011,,3.344833,3.344833
404265,2012,0.0014,0.8923269,0.8923269
404265,2013,0.003752,0.5314357,0.5314357
404265,2014,,1.744751,-0.8668542
404265,2015,,1.953805,-1.751212
404265,2016,,1.777671,0.3236178
404265,2017,,1.697906,1.716037
404265,2018,,1.790401,1.769894
404265,2019,,1.601768,1.604487
404265,2020,,1.494786,1.494678
404580,2005,,0.8475649,0.8475649
404580,2006,,3.807042,3.807042
404580,2007,,3.335074,3.335074
404580,2008,0.018,0.8056425,0.8056425
404580,2009,0.0379,-5.223765,-5.223765
404580,2010,0.1841,3.786477,3.786477
404580,2011,0.342523,3.344833,3.344833
404580,2012,,0.8923269,0.8923269
404580,2013,,0.5314357,0.5314357
404580,2014,,1.744751,-0.8668542
404580,2015,,1.953805,-1.751212
404580,2016,,1.777671,0.3236178
404580,2017,,1.697906,1.716037
404580,2018,,1.790401,1.769894
404580,2019,,1.601768,1.604487
404580,2020,,1.494786,1.494678
404581,2005,,0.8475649,0.8475649
404581,2006,,3.807042,3.807042
404581,2007,,3.335074,3.335074
404581,2008,0.018,0.8056425,0.8056425
